,Año,Trimestre,Provincia,Accesos por cada 100 hab
179,2022,2,La Rioja,21.331409216914373
180,2022,2,Mendoza,13.782233784570575
181,2022,2,Misiones,13.89002818196789
182,2022,2,Neuquén,23.81745752817118
183,2022,2,Río Negro,20.867543527383393
184,2022,2,Salta,13.936010557448652
185,2022,2,San Juan,12.597912455631214
186,2022,2,San Luis,23.396972678771853
187,2022,2,Santa Cruz,12.83962283852644
188,2022,2,Santa Fe,24.495906799164608
189,2022,2,Santiago Del Estero,11.836737968128928
190,2022,2,Tierra Del Fuego,29.60495526496903
191,2022,2,Tucumán,14.6914572899128
192,2022,1,Buenos Aires,25.563030152028354
193,2022,1,Capital Federal,46.01434762144353
194,2022,1,Catamarca,14.805619574995312
195,2022,1,Chaco,11.775342040436145
196,2022,1,Chubut,26.988759663104396
197,2022,1,Córdoba,26.255262218351167
198,2022,1,Corrientes,12.545281287312793
199,2022,1,Entre Ríos,19.04540527092108
200,2022,1,Formosa,8.896427435598431
201,2022,1,Jujuy,14.847641828629394
202,2022,1,La Pampa,30.200415031402574
203,2022,1,La Rioja,20.96917417226944
204,2022,1,Mendoza,13.5994765497552
205,2022,1,Misiones,13.357539336702546
206,2022,1,Neuquén,22.07746042609429
207,2022,1,Río Negro,20.61822984084394
208,2022,1,Salta,13.588166053353753
209,2022,1,San Juan,11.092116468606637
210,2022,1,San Luis,23.101656231687382
211,2022,1,Santa Cruz,12.894297328809571
212,2022,1,Santa Fe,24.307396998934415
213,2022,1,Santiago Del Estero,11.706882132029497
214,2022,1,Tierra Del Fuego,29.13865104068589
215,2022,1,Tucumán,14.215533334298076
216,2021,4,Buenos Aires,25.36251411440295
217,2021,4,Capital Federal,45.848510714562856
218,2021,4,Catamarca,14.054223759225387
219,2021,4,Chaco,11.772399458164147
220,2021,4,Chubut,25.309325144656967
221,2021,4,Córdoba,25.873153715537683
222,2021,4,Corrientes,11.983198552620907
223,2021,4,Entre Ríos,18.88227767661483
224,2021,4,Formosa,8.768865242200624
225,2021,4,Jujuy,14.555241944242491
226,2021,4,La Pampa,29.509892061530994
227,2021,4,La Rioja,20.742382050283958
228,2021,4,Mendoza,13.25625900699059
229,2021,4,Misiones,13.363319043268442
230,2021,4,Neuquén,21.817563119077384
231,2021,4,Río Negro,20.205613568445425
232,2021,4,Salta,13.759337691497715
233,2021,4,San Juan,10.084133235970333
234,2021,4,San Luis,22.97895624197615
235,2021,4,Santa Cruz,12.808821353847454
236,2021,4,Santa Fe,24.23965799751964
237,2021,4,Santiago Del Estero,11.675440470480114
238,2021,4,Tierra Del Fuego,29.171007839182543
239,2021,4,Tucumán,13.852880446424063
240,2021,3,Buenos Aires,23.96989190399953
241,2021,3,Capital Federal,45.90038346526859
242,2021,3,Catamarca,13.407472376612356
243,2021,3,Chaco,11.48213456009956
244,2021,3,Chubut,24.738375502880167
245,2021,3,Córdoba,24.885957628675673
246,2021,3,Corrientes,11.8228555121759
247,2021,3,Entre Ríos,18.590565595869126
248,2021,3,Formosa,8.643582187295351
249,2021,3,Jujuy,14.240381868423986
250,2021,3,La Pampa,27.767891191051227
251,2021,3,La Rioja,20.565964530219404
252,2021,3,Mendoza,12.710228113581037
253,2021,3,Misiones,12.411772581325813
254,2021,3,Neuquén,20.74816202113861
255,2021,3,Río Negro,19.05925062746504
256,2021,3,Salta,13.55352602212216
257,2021,3,San Juan,10.050236642022515
258,2021,3,San Luis,22.857408818789526
259,2021,3,Santa Cruz,13.016254371883871
260,2021,3,Santa Fe,23.58815244581783
261,2021,3,Santiago Del Estero,11.660736690891678
262,2021,3,Tierra Del Fuego,28.150170112829368
263,2021,3,Tucumán,13.533446775711843
264,2021,2,Buenos Aires,23.35247372787298
265,2021,2,Capital Federal,45.48719048129489
266,2021,2,Catamarca,13.313748671467298
267,2021,2,Chaco,11.580041340539402
268,2021,2,Chubut,22.159781771420207
269,2021,2,Córdoba,24.528406291253745
270,2021,2,Corrientes,11.465064580129559
271,2021,2,Entre Ríos,18.435680632917915
272,2021,2,Formosa,8.456293049570467
273,2021,2,Jujuy,14.366784069218694
274,2021,2,La Pampa,27.043558440191944
275,2021,2,La Rioja,20.49158509575061
276,2021,2,Mendoza,11.433847066800618
277,2021,2,Misiones,12.26014659485293
278,2021,2,Neuquén,20.58023612564588
279,2021,2,Río Negro,19.052051860128394
280,2021,2,Salta,13.303441391384512
281,2021,2,San Juan,10.00671906693712
282,2021,2,San Luis,23.89055527674358
283,2021,2,Santa Cruz,13.096756425784957
284,2021,2,Santa Fe,23.60478745301367
285,2021,2,Santiago Del Estero,11.554388875216853
286,2021,2,Tierra Del Fuego,20.126647945777083
287,2021,2,Tucumán,13.606163819728007
288,2021,1,Buenos Aires,22.998353975762015
289,2021,1,Capital Federal,44.82699016464177
290,2021,1,Catamarca,12.438278918256517
291,2021,1,Chaco,11.528896477487843
292,2021,1,Chubut,21.147838315076264
293,2021,1,Córdoba,24.061371645661506
294,2021,1,Corrientes,11.234115869536096
295,2021,1,Entre Ríos,18.070581721504354
296,2021,1,Formosa,8.330895284429907
297,2021,1,Jujuy,14.226045966500736
298,2021,1,La Pampa,26.943299898725044
299,2021,1,La Rioja,13.258360163449572
300,2021,1,Mendoza,10.926002451479471
301,2021,1,Misiones,11.758811611223322
302,2021,1,Neuquén,19.895917331182986
303,2021,1,Río Negro,18.724905657874665
304,2021,1,Salta,13.061128426236175
305,2021,1,San Juan,9.948368694803314
306,2021,1,San Luis,23.24883515831701
307,2021,1,Santa Cruz,12.391825403443834
308,2021,1,Santa Fe,23.242382186130484
309,2021,1,Santiago Del Estero,11.334871169032645
310,2021,1,Tierra Del Fuego,22.9312154304354
311,2021,1,Tucumán,13.57896382467824
312,2020,4,Buenos Aires,22.90151153254686
313,2020,4,Capital Federal,44.833968426782796
314,2020,4,Catamarca,12.567459308545084
315,2020,4,Chaco,11.50064617804086
316,2020,4,Chubut,20.950871174621614
317,2020,4,Córdoba,23.904978675681004
318,2020,4,Corrientes,11.172002734788627
319,2020,4,Entre Ríos,17.78197083072765
320,2020,4,Formosa,8.268390853815193
321,2020,4,Jujuy,13.669623117135359
322,2020,4,La Pampa,26.940422171804798
323,2020,4,La Rioja,13.339129511730942
324,2020,4,Mendoza,10.779753857792285
325,2020,4,Misiones,11.614898792582805
326,2020,4,Neuquén,19.943555550895127
327,2020,4,Río Negro,18.789319055171752
328,2020,4,Salta,13.088389057411085
329,2020,4,San Juan,9.251858120163535
330,2020,4,San Luis,23.375314368474104
331,2020,4,Santa Cruz,11.008682660661702
332,2020,4,Santa Fe,23.136769743176906
333,2020,4,Santiago Del Estero,10.857437164805166
334,2020,4,Tierra Del Fuego,22.609569143137627
335,2020,4,Tucumán,13.57016980842894
336,2020,3,Buenos Aires,22.410088053440287
337,2020,3,Capital Federal,44.62274289719256
338,2020,3,Catamarca,11.995288801288368
339,2020,3,Chaco,11.102767361905425
340,2020,3,Chubut,20.94871530485329
341,2020,3,Córdoba,23.029708353509868
342,2020,3,Corrientes,10.993613616681577
343,2020,3,Entre Ríos,17.398110879051448
344,2020,3,Formosa,8.120337229392224
345,2020,3,Jujuy,13.820037033679931
346,2020,3,La Pampa,26.115702018823033
347,2020,3,La Rioja,13.341312020771634
348,2020,3,Mendoza,10.422355488053226
349,2020,3,Misiones,11.331798537010407
350,2020,3,Neuquén,19.42045929269766
