,Provincia,Partido,Localidad,Link Indec,Otros,"0,256 Mbps","0,5 Mbps","0,512 Mbps","0,75 Mbps",1 Mbps,"1,5 Mbps",2 Mbps,"2,2 Mbps","2,5 Mbps",3 Mbps,"3,3 Mbps","3,5 Mbps",4 Mbps,"4,5 Mbps",5 Mbps,6 Mbps,"6,4 Mbps",7 Mbps,"7,5 Mbps",8 Mbps,9 Mbps,10 Mbps,"10,1 Mbps","10,2 Mbps",11 Mbps,12 Mbps,"12,3 Mbps",13 Mbps,14 Mbps,15 Mbps,16 Mbps,17 Mbps,18 Mbps,20 Mbps,"20,5 Mbps",21 Mbps,22 Mbps,23 Mbps,24 Mbps,25 Mbps,"25,1 Mbps","25,5 Mbps",26 Mbps,27 Mbps,30 Mbps,31 Mbps,32 Mbps,35 Mbps,36 Mbps,40 Mbps,41 Mbps,45 Mbps,48 Mbps,49 Mbps,50 Mbps,"50,1 Mbps","50,25 Mbps",51 Mbps,55 Mbps,59 Mbps,60 Mbps,61 Mbps,65 Mbps,66 Mbps,70 Mbps,75 Mbps,80 Mbps,85 Mbps,90 Mbps,95 Mbps,98 Mbps,100 Mbps,"100,1 Mbps","100,25 Mbps",105 Mbps,110 Mbps,120 Mbps,122 Mbps,125 Mbps,130 Mbps,140 Mbps,150 Mbps,155 Mbps,160 Mbps,164 Mbps,165 Mbps,180 Mbps,200 Mbps,205 Mbps,212 Mbps,220 Mbps,225 Mbps,240 Mbps,246 Mbps,250 Mbps,256 Mbps,275 Mbps,300 Mbps,320 Mbps,325 Mbps,330 Mbps,350 Mbps,400 Mbps,450 Mbps,480 Mbps,500 Mbps,512 Mbps,520 Mbps,540 Mbps,600 Mbps,680 Mbps,700 Mbps,800 Mbps,850 Mbps,900 Mbps,999 Mbps,1000 Mbps,1024 Mbps,4000 Mbps,10000 Mbps
0,BUENOS AIRES,25 de Mayo,25 de Mayo,6854100,,,2.0,,19.0,,,,,,85.0,,145.0,,,,76.0,,,,299.0,,288.0,,,,,,,,415.0,,,,1797.0,,,,,,144.0,,,,,1501.0,,,,,27.0,,,,,647.0,,,,,,,,,,,,9.0,,,,,693.0,,,,,,,,,,,,,,,,,,,,,,,,,,95.0,,,,,,,,3.0,,,,,,,,,,,,,,
1,BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,BUENOS AIRES,25 de Mayo,Del Valle,6854020,,,1.0,,,,,,,,181.0,,,,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,BUENOS AIRES,25 de Mayo,Ernestina,6854030,,,,,,,,,,,,,,,,75.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040,,,,,,,,106.0,,,3.0,,,56.0,,7.0,3.0,,,,4.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060,,,,,,,,174.0,,,32.0,,,9.0,,8.0,914.0,,,,,,2.0,,,,,,,,322.0,,,,,,,,,,29.0,,,,,,,,,,,,,,,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,BUENOS AIRES,25 de Mayo,Pedernales,6854070,,,,,,,,,,,,,,,,,2.0,,,,,,177.0,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,BUENOS AIRES,25 de Mayo,San Enrique,6854080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,BUENOS AIRES,25 de Mayo,Valdés,6854090,,,,,,,,,,,,,,,,,,,,,,,245.0,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,BUENOS AIRES,9 de Julio,12 de Octubre,6588030,,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,BUENOS AIRES,9 de Julio,9 de Julio,6588100,,,,,9.0,,,,,,198.0,,114.0,,,154.0,4824.0,,235.0,,98.0,,2670.0,,,,,,,,1239.0,,,,1144.0,,,,,,,,,,,362.0,,,,,,,,,,640.0,,,,,,,,,,,,,,,,,1817.0,,,,,,,,,,,,,,,,,,,,,,,,,,1175.0,,,,,,,,34.0,,,,,,,,,,,12.0,,,
12,BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010,,,,,,,,,,,510.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,BUENOS AIRES,9 de Julio,Dudignac,6588040,,,,,,8.0,,,,,36.0,,,247.0,,,46.0,,,,,,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060,,,,,,1.0,,193.0,,,,,,,,,1.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,BUENOS AIRES,9 de Julio,Morea,6588080,,,,,,,,,,,130.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,BUENOS AIRES,9 de Julio,Patricios,6588110,,,,,,,,,,,50.0,,,,,,16.0,,,,,,44.0,,,,,,,,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120,,,,,,,,,,,42.0,,,,,,6.0,,,,,,37.0,,,,,,,,29.0,,,,32.0,,,,,,,,,,,11.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,BUENOS AIRES,Adolfo Alsina,Carhué,6007010,,,,,,,,,,,763.0,,20.0,,,,,,103.0,,36.0,,,,,,,,,,1231.0,,,,,,,,,,,,,,,1.0,266.0,,,,,,,,,813.0,,,,,,,31.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020,,,,,,,,,,,208.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,BUENOS AIRES,Adolfo Alsina,Maza,6007070,10.0,,2.0,,,,,,,,,,,,,386.0,,,,,,,6.0,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,BUENOS AIRES,Adolfo Alsina,Rivera,6007080,,,,,,,,,,,,,,,,,,,,,,,52.0,,,,1153.0,,,,,,,,,,,,,22.0,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010,,,,,3.0,,,,,,,,147.0,,,,,,,,447.0,,122.0,,,,1.0,,,,1422.0,,,,,,,,,,,,,,,44.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,BUENOS AIRES,Adolfo Gonzales Chaves,De la Garma,6014020,,,,,,,,,,,,,,632.0,,,,,7.0,,28.0,,45.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,BUENOS AIRES,Adolfo Gonzales Chaves,Juan E. Barra,6014030,,,,,,,,,,,,,,46.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,BUENOS AIRES,Adolfo Gonzales Chaves,Vásquez,6014040,,,,,,,,,,,12.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,BUENOS AIRES,Alberti,Alberti   (Est. Andrés Vaccarezza),6021010,,,,,2.0,,,1.0,,,,,40.0,,,1.0,,,,,116.0,,,,,,,,,,302.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,BUENOS AIRES,Alberti,Coronel Seguí,6021020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,BUENOS AIRES,Alberti,Mechita,6021030,,,,,,,,,,,275.0,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,BUENOS AIRES,Alberti,Villa Ortiz  (Est. Coronel Mom),6021070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,BUENOS AIRES,Almirante Brown,Adrogué,6028010,,1.0,10.0,1.0,34.0,21.0,,8.0,,,1.0,,63.0,7.0,,6.0,12.0,,,,37.0,,254.0,,,,,,,,135.0,,,,3.0,,,,,,3.0,,,,,11552.0,,,,,,,,,,527.0,,,,,,143.0,,,,,10.0,,,,,,2616.0,,,,,,,,,,1122.0,,,,,,1.0,,,,,,,,,,3823.0,,,,,,,,544.0,,,,,,,,,,,325.0,,,
32,BUENOS AIRES,Almirante Brown,Burzaco,6028010,53.0,1.0,9.0,1.0,23.0,15.0,,77.0,,,14.0,,34.0,115.0,,17.0,82.0,,,,30.0,,671.0,,,,,,,,60.0,,,,1.0,,,,,,5.0,,,,,11393.0,,,,,,,,,,397.0,,,,,,698.0,,,,,34.0,,,,,,2028.0,,,,,,,,,,4263.0,,,,,,2.0,,,,,,,,,,6495.0,,,,,,,,1114.0,,,,,,,,,,,1030.0,,,
