,Año,Trimestre,Provincia,Accesos por cada 100 hogares
182,2022,2,Neuquén,80.02
183,2022,2,Río Negro,67.85
184,2022,2,Salta,57.54
185,2022,2,San Juan,49.46
186,2022,2,San Luis,81.76
187,2022,2,Santa Cruz,43.15
188,2022,2,Santa Fe,77.9
189,2022,2,Santiago Del Estero,47.7
190,2022,2,Tierra Del Fuego,99.86
191,2022,2,Tucumán,59.31
192,2022,1,Buenos Aires,76.07814661157262
193,2022,1,Capital Federal,111.79786269174652
194,2022,1,Catamarca,58.20635083561171
195,2022,1,Chaco,44.05948009941883
196,2022,1,Chubut,88.05274093835774
197,2022,1,Córdoba,85.75745356313551
198,2022,1,Corrientes,47.644635141502334
199,2022,1,Entre Ríos,63.70090347123158
200,2022,1,Formosa,34.955686995751336
201,2022,1,Jujuy,58.06462866426784
202,2022,1,La Pampa,91.66332531408715
203,2022,1,La Rioja,78.77459866564503
204,2022,1,Mendoza,48.73524093558345
205,2022,1,Misiones,49.04334199772953
206,2022,1,Neuquén,74.17305509992715
207,2022,1,Río Negro,67.03640754987029
208,2022,1,Salta,56.10759340849759
209,2022,1,San Juan,43.54598160933163
210,2022,1,San Luis,80.72423060601774
211,2022,1,Santa Cruz,43.33842311053054
212,2022,1,Santa Fe,77.30458474758402
213,2022,1,Santiago Del Estero,47.17273839324049
214,2022,1,Tierra Del Fuego,98.29055038672794
215,2022,1,Tucumán,57.39003227231194
216,2021,4,Buenos Aires,75.66410602338475
217,2021,4,Capital Federal,111.27002612891737
218,2021,4,Catamarca,55.2526999859741
219,2021,4,Chaco,44.04856389025934
220,2021,4,Chubut,82.57340063871433
221,2021,4,Córdoba,84.50941853046088
222,2021,4,Corrientes,45.51016102946347
223,2021,4,Entre Ríos,63.155361436165784
224,2021,4,Formosa,34.4545746388443
225,2021,4,Jujuy,56.921070514870486
226,2021,4,La Pampa,89.56734270241313
227,2021,4,La Rioja,77.9234900964576
228,2021,4,Mendoza,47.505317090317746
229,2021,4,Misiones,49.06462073058497
