,Año,Trimestre,Provincia,Mbps (Media de bajada)
182,2022,2,Neuquén,46.53
183,2022,2,Río Negro,33.26
184,2022,2,Salta,38.77
185,2022,2,San Juan,14.44
186,2022,2,San Luis,19.32
187,2022,2,Santa Cruz,11.81
188,2022,2,Santa Fe,42.01
189,2022,2,Santiago Del Estero,16.34
190,2022,2,Tierra Del Fuego,10.97
191,2022,2,Tucumán,50.09
192,2022,1,Buenos Aires,62.51
193,2022,1,Capital Federal,88.22
194,2022,1,Catamarca,51.22
195,2022,1,Chaco,45.84
196,2022,1,Chubut,13.4
197,2022,1,Córdoba,49.89
198,2022,1,Corrientes,38.11
199,2022,1,Entre Ríos,35.59
200,2022,1,Formosa,30.28
201,2022,1,Jujuy,27.69
202,2022,1,La Pampa,14.84
203,2022,1,La Rioja,41.37
204,2022,1,Mendoza,26.2
205,2022,1,Misiones,41.87
206,2022,1,Neuquén,43.05
207,2022,1,Río Negro,31.09
208,2022,1,Salta,36.71
209,2022,1,San Juan,11.99
210,2022,1,San Luis,20.95
211,2022,1,Santa Cruz,10.89
212,2022,1,Santa Fe,38.89
213,2022,1,Santiago Del Estero,14.5
214,2022,1,Tierra Del Fuego,10.73
215,2022,1,Tucumán,47.24
216,2021,4,Buenos Aires,60.2091238315554
217,2021,4,Capital Federal,82.94995496542248
218,2021,4,Catamarca,46.380057758939095
219,2021,4,Chaco,42.342637514688604
220,2021,4,Chubut,9.082660638555467
221,2021,4,Córdoba,46.36090745799214
222,2021,4,Corrientes,35.772659194287044
223,2021,4,Entre Ríos,33.31712584167462
224,2021,4,Formosa,28.75764894769421
225,2021,4,Jujuy,27.144343038417077
226,2021,4,La Pampa,13.853882842854395
227,2021,4,La Rioja,39.69594513667998
228,2021,4,Mendoza,22.23158340100516
229,2021,4,Misiones,38.903349250907574
230,2021,4,Neuquén,40.092530111167584
231,2021,4,Río Negro,27.20317045489215
232,2021,4,Salta,33.940639744985226
233,2021,4,San Juan,11.052749308157779
234,2021,4,San Luis,20.90972444801464
235,2021,4,Santa Cruz,8.990650984477549
236,2021,4,Santa Fe,36.024023837275145
237,2021,4,Santiago Del Estero,13.84088684951507
238,2021,4,Tierra Del Fuego,10.696704944050465
239,2021,4,Tucumán,45.14812243339947
240,2021,3,Buenos Aires,56.25755092469591
241,2021,3,Capital Federal,77.71207106907312
242,2021,3,Catamarca,43.43333599763174
243,2021,3,Chaco,39.113135809207584
244,2021,3,Chubut,8.176860363136605
245,2021,3,Córdoba,41.92778724566202
246,2021,3,Corrientes,32.16890082785829
247,2021,3,Entre Ríos,29.60123187949277
248,2021,3,Formosa,26.689426784946654
249,2021,3,Jujuy,25.980702520297545
250,2021,3,La Pampa,12.99161507240359
251,2021,3,La Rioja,38.86795185445044
252,2021,3,Mendoza,13.365156173184467
253,2021,3,Misiones,30.87871831426499
254,2021,3,Neuquén,38.34222315428742
255,2021,3,Río Negro,25.400065197148727
256,2021,3,Salta,31.209681857038827
257,2021,3,San Juan,7.041300820394967
258,2021,3,San Luis,21.69870707116376
259,2021,3,Santa Cruz,7.692326941812981
260,2021,3,Santa Fe,33.13229624738131
261,2021,3,Santiago Del Estero,13.352723533519553
262,2021,3,Tierra Del Fuego,9.52
263,2021,3,Tucumán,42.10118530571482
264,2021,2,Buenos Aires,52.75542937003713
265,2021,2,Capital Federal,72.74675003231476
266,2021,2,Catamarca,42.18506376779111
267,2021,2,Chaco,37.396909596222066
268,2021,2,Chubut,7.67690621713348
269,2021,2,Córdoba,39.59011648994794
270,2021,2,Corrientes,30.368054802005656
