,Año,Trimestre,Provincia,Banda ancha fija,Dial up,Total
133,2022,4,Misiones,186269,0.0,186269
134,2022,4,Neuquén,159712,468.0,160180
135,2022,4,Río Negro,161544,548.0,162092
136,2022,4,Salta,205855,5.0,205860
137,2022,4,San Juan,103545,281.0,103826
138,2022,4,San Luis,135028,192.0,135220
139,2022,4,Santa Cruz,50005,198.0,50203
140,2022,4,Santa Fe,887581,110.0,887691
141,2022,4,Santiago Del Estero,119492,2.0,119494
142,2022,4,Tierra Del Fuego,54948,312.0,55260
143,2022,4,Tucumán,263392,30.0,263422
144,2022,3,Buenos Aires,4715469,6199.0,4721668
145,2022,3,Capital Federal,1545534,2145.0,1547679
146,2022,3,Catamarca,70292,1.0,70293
147,2022,3,Chaco,144141,5.0,144146
148,2022,3,Chubut,164874,904.0,165778
149,2022,3,Córdoba,1038600,68.0,1038668
150,2022,3,Corrientes,144842,4.0,144846
151,2022,3,Entre Ríos,268937,22.0,268959
152,2022,3,Formosa,68537,1.0,68538
153,2022,3,Jujuy,118823,0.0,118823
154,2022,3,La Pampa,115921,171.0,116092
155,2022,3,La Rioja,86860,4.0,86864
156,2022,3,Mendoza,288746,777.0,289523
157,2022,3,Misiones,182157,0.0,182157
158,2022,3,Neuquén,162693,468.0,163161
159,2022,3,Río Negro,160010,548.0,160558
160,2022,3,Salta,204536,5.0,204541
161,2022,3,San Juan,103118,281.0,103399
162,2022,3,San Luis,121888,182.0,122070
163,2022,3,Santa Cruz,49312,198.0,49510
164,2022,3,Santa Fe,887700,110.0,887810
165,2022,3,Santiago Del Estero,119030,2.0,119032
166,2022,3,Tierra Del Fuego,53584,312.0,53896
167,2022,3,Tucumán,263087,30.0,263117
168,2022,2,Buenos Aires,4660984,6199.0,4667183
169,2022,2,Capital Federal,1534626,2145.0,1536771
170,2022,2,Catamarca,67007,1.0,67008
171,2022,2,Chaco,143559,5.0,143564
172,2022,2,Chubut,161901,904.0,162805
173,2022,2,Córdoba,1026367,68.0,1026435
174,2022,2,Corrientes,144993,4.0,144997
175,2022,2,Entre Ríos,269330,22.0,269352
176,2022,2,Formosa,67881,0.0,67881
177,2022,2,Jujuy,115314,0.0,115314
178,2022,2,La Pampa,111356,171.0,111527
179,2022,2,La Rioja,86026,4.0,86030
180,2022,2,Mendoza,278785,777.0,279562
181,2022,2,Misiones,178813,0.0,178813
182,2022,2,Neuquén,161500,468.0,161968
183,2022,2,Río Negro,159216,548.0,159764
184,2022,2,Salta,203172,5.0,203177
185,2022,2,San Juan,100126,281.0,100407
186,2022,2,San Luis,121559,182.0,121741
187,2022,2,Santa Cruz,48987,198.0,49185
188,2022,2,Santa Fe,878749,110.0,878859
189,2022,2,Santiago Del Estero,118042,2.0,118044
190,2022,2,Tierra Del Fuego,53458,312.0,53770
191,2022,2,Tucumán,254497,30.0,254527
192,2022,1,Buenos Aires,4549131,6293.0,4555424
193,2022,1,Capital Federal,1415378,2163.0,1417541
194,2022,1,Catamarca,62377,1.0,62378
195,2022,1,Chaco,144114,5.0,144119
196,2022,1,Chubut,170701,927.0,171628
197,2022,1,Córdoba,1003729,74.0,1003803
198,2022,1,Corrientes,142574,4.0,142578
199,2022,1,Entre Ríos,267904,22.0,267926
200,2022,1,Formosa,54548,0.0,54548
201,2022,1,Jujuy,116509,0.0,116509
202,2022,1,La Pampa,109560,172.0,109732
203,2022,1,La Rioja,84299,4.0,84303
204,2022,1,Mendoza,274399,786.0,275185
205,2022,1,Misiones,171508,0.0,171508
206,2022,1,Neuquén,149208,471.0,149679
207,2022,1,Río Negro,156821,553.0,157374
208,2022,1,Salta,197510,5.0,197515
209,2022,1,San Juan,87888,290.0,88178
210,2022,1,San Luis,119659,185.0,119844
211,2022,1,Santa Cruz,48898,204.0,49102
212,2022,1,Santa Fe,870364,115.0,870479
213,2022,1,Santiago Del Estero,116459,2.0,116461
214,2022,1,Tierra Del Fuego,52298,313.0,52611
215,2022,1,Tucumán,245554,30.0,245584
216,2021,4,Buenos Aires,4502772,6385.0,4509157
217,2021,4,Capital Federal,1409935,2184.0,1412119
218,2021,4,Catamarca,59089,1.0,59090
219,2021,4,Chaco,143740,5.0,143745
220,2021,4,Chubut,159364,944.0,160308
221,2021,4,Córdoba,986693,77.0,986770
222,2021,4,Corrientes,135908,4.0,135912
223,2021,4,Entre Ríos,265024,22.0,265046
224,2021,4,Formosa,53663,0.0,53663
225,2021,4,Jujuy,113915,0.0,113915
226,2021,4,La Pampa,106834,173.0,107007
227,2021,4,La Rioja,83124,4.0,83128
228,2021,4,Mendoza,266783,804.0,267587
229,2021,4,Misiones,171132,0.0,171132
230,2021,4,Neuquén,146989,477.0,147466
231,2021,4,Río Negro,153189,564.0,153753
232,2021,4,Salta,199399,6.0,199405
233,2021,4,San Juan,79667,291.0,79958
234,2021,4,San Luis,118662,187.0,118849
235,2021,4,Santa Cruz,48276,210.0,48486
236,2021,4,Santa Fe,866265,176.0,866441
237,2021,4,Santiago Del Estero,115859,2.0,115861
238,2021,4,Tierra Del Fuego,52042,315.0,52357
239,2021,4,Tucumán,238609,30.0,238639
240,2021,3,Buenos Aires,4246425,5184.0,4251609
241,2021,3,Capital Federal,1411797,1608.0,1413405
242,2021,3,Catamarca,56253,1.0,56254
243,2021,3,Chaco,139868,3.0,139871
244,2021,3,Chubut,155266,800.0,156066
245,2021,3,Córdoba,946726,62.0,946788
246,2021,3,Corrientes,133816,3.0,133819
247,2021,3,Entre Ríos,260360,15.0,260375
248,2021,3,Formosa,52795,0.0,52795
249,2021,3,Jujuy,111158,0.0,111158
250,2021,3,La Pampa,100371,116.0,100487
251,2021,3,La Rioja,82157,3.0,82160
252,2021,3,Mendoza,255320,619.0,255939
253,2021,3,Misiones,158528,0.0,158528
254,2021,3,Neuquén,139436,373.0,139809
255,2021,3,Río Negro,144084,501.0,144585
256,2021,3,Salta,195831,2.0,195833
257,2021,3,San Juan,79227,256.0,79483
258,2021,3,San Luis,117716,148.0,117864
259,2021,3,Santa Cruz,48779,197.0,48976
260,2021,3,Santa Fe,841433,151.0,841584
261,2021,3,Santiago Del Estero,115457,1.0,115458
262,2021,3,Tierra Del Fuego,49934,289.0,50223
263,2021,3,Tucumán,232447,25.0,232472
264,2021,2,Buenos Aires,4127167,5184.0,4132351
265,2021,2,Capital Federal,1398747,1608.0,1400355
266,2021,2,Catamarca,55743,1.0,55744
267,2021,2,Chaco,140726,3.0,140729
268,2021,2,Chubut,138412,825.0,139237
269,2021,2,Córdoba,930818,62.0,930880
270,2021,2,Corrientes,129498,3.0,129501
271,2021,2,Entre Ríos,257617,15.0,257632
272,2021,2,Formosa,51551,0.0,51551
273,2021,2,Jujuy,111848,0.0,111848
274,2021,2,La Pampa,97551,116.0,97667
275,2021,2,La Rioja,81599,3.0,81602
276,2021,2,Mendoza,229052,619.0,229671
277,2021,2,Misiones,156176,0.0,156176
278,2021,2,Neuquén,137877,373.0,138250
279,2021,2,Río Negro,143583,501.0,144084
280,2021,2,Salta,191637,2.0,191639
281,2021,2,San Juan,78677,256.0,78933
282,2021,2,San Luis,122670,148.0,122818
283,2021,2,Santa Cruz,48785,197.0,48982
284,2021,2,Santa Fe,840449,151.0,840600
285,2021,2,Santiago Del Estero,114089,1.0,114090
286,2021,2,Tierra Del Fuego,35404,289.0,35693
287,2021,2,Tucumán,233026,25.0,233051
288,2021,1,Buenos Aires,4054936,5066.0,4060002
289,2021,1,Capital Federal,1378283,1390.0,1379673
290,2021,1,Catamarca,51967,1.0,51968
291,2021,1,Chaco,139767,3.0,139770
292,2021,1,Chubut,131515,825.0,132340
293,2021,1,Córdoba,910826,55.0,910881
294,2021,1,Corrientes,126622,3.0,126625
295,2021,1,Entre Ríos,251950,13.0,251963
296,2021,1,Formosa,50686,0.0,50686
297,2021,1,Jujuy,110456,0.0,110456
298,2021,1,La Pampa,96989,116.0,97105
299,2021,1,La Rioja,52625,3.0,52628
300,2021,1,Mendoza,218308,615.0,218923
